"PassengerId","Sex","Age","Pclass","Embarked","Survived"
1,"male",22,3,"S",0
2,"female",38,1,"C",1
3,"female",26,3,"S",1
4,"female",35,1,"S",1
5,"male",35,3,"S",0
6,"male",,3,"Q",0
7,"male",54,1,"S",0
8,"male",2,3,"S",0
9,"female",27,3,"S",1
10,"female",14,2,"C",1
11,"female",4,3,"S",1
12,"female",58,1,"S",1
13,"male",20,3,"S",0
14,"male",39,3,"S",0
15,"female",14,3,"S",0
16,"female",55,2,"S",1
17,"male",2,3,"Q",0
18,"male",,2,"S",1
19,"female",31,3,"S",0
20,"female",,3,"C",1
21,"male",35,2,"S",0
22,"male",34,2,"S",1
23,"female",15,3,"Q",1
24,"male",28,1,"S",1
25,"female",8,3,"S",0
26,"female",38,3,"S",1
27,"male",,3,"C",0
28,"male",19,1,"S",0
29,"female",,3,"Q",1
30,"male",,3,"S",0
31,"male",40,1,"C",0
32,"female",,1,"C",1
33,"female",,3,"Q",1
34,"male",66,2,"S",0
35,"male",28,1,"C",0
36,"male",42,1,"S",0
37,"male",,3,"C",1
38,"male",21,3,"S",0
39,"female",18,3,"S",0
40,"female",14,3,"C",1
41,"female",40,3,"S",0
42,"female",27,2,"S",0
43,"male",,3,"C",0
44,"female",3,2,"C",1
45,"female",19,3,"Q",1
46,"male",,3,"S",0
47,"male",,3,"Q",0
48,"female",,3,"Q",1
49,"male",,3,"C",0
50,"female",18,3,"S",0
51,"male",7,3,"S",0
52,"male",21,3,"S",0
53,"female",49,1,"C",1
54,"female",29,2,"S",1
55,"male",65,1,"C",0
56,"male",,1,"S",1
57,"female",21,2,"S",1
58,"male","28.5",3,"C",0
59,"female",5,2,"S",1
60,"male",11,3,"S",0
61,"male",22,3,"C",0
62,"female",38,1,,1
63,"male",45,1,"S",0
64,"male",4,3,"S",0
65,"male",,1,"C",0
66,"male",,3,"C",1
67,"female",29,2,"S",1
68,"male",19,3,"S",0
69,"female",17,3,"S",1
70,"male",26,3,"S",0
71,"male",32,2,"S",0
72,"female",16,3,"S",0
73,"male",21,2,"S",0
74,"male",26,3,"C",0
75,"male",32,3,"S",1
76,"male",25,3,"S",0
77,"male",,3,"S",0
78,"male",,3,"S",0
79,"male","0.83",2,"S",1
80,"female",30,3,"S",1
81,"male",22,3,"S",0
82,"male",29,3,"S",1
83,"female",,3,"Q",1
84,"male",28,1,"S",0
85,"female",17,2,"S",1
86,"female",33,3,"S",1
87,"male",16,3,"S",0
88,"male",,3,"S",0
89,"female",23,1,"S",1
90,"male",24,3,"S",0
91,"male",29,3,"S",0
92,"male",20,3,"S",0
93,"male",46,1,"S",0
94,"male",26,3,"S",0
95,"male",59,3,"S",0
96,"male",,3,"S",0
97,"male",71,1,"C",0
98,"male",23,1,"C",1
99,"female",34,2,"S",1
100,"male",34,2,"S",0
101,"female",28,3,"S",0
102,"male",,3,"S",0
103,"male",21,1,"S",0
104,"male",33,3,"S",0
105,"male",37,3,"S",0
106,"male",28,3,"S",0
107,"female",21,3,"S",1
108,"male",,3,"S",1
109,"male",38,3,"S",0
110,"female",,3,"Q",1
111,"male",47,1,"S",0
112,"female","14.5",3,"C",0
113,"male",22,3,"S",0
114,"female",20,3,"S",0
115,"female",17,3,"C",0
116,"male",21,3,"S",0
117,"male","70.5",3,"Q",0
118,"male",29,2,"S",0
119,"male",24,1,"C",0
120,"female",2,3,"S",0
121,"male",21,2,"S",0
122,"male",,3,"S",0
123,"male","32.5",2,"C",0
124,"female","32.5",2,"S",1
125,"male",54,1,"S",0
126,"male",12,3,"C",1
127,"male",,3,"Q",0
128,"male",24,3,"S",1
129,"female",,3,"C",1
130,"male",45,3,"S",0
131,"male",33,3,"C",0
132,"male",20,3,"S",0
133,"female",47,3,"S",0
134,"female",29,2,"S",1
135,"male",25,2,"S",0
136,"male",23,2,"C",0
137,"female",19,1,"S",1
138,"male",37,1,"S",0
139,"male",16,3,"S",0
140,"male",24,1,"C",0
141,"female",,3,"C",0
142,"female",22,3,"S",1
143,"female",24,3,"S",1
144,"male",19,3,"Q",0
145,"male",18,2,"S",0
146,"male",19,2,"S",0
147,"male",27,3,"S",1
148,"female",9,3,"S",0
149,"male","36.5",2,"S",0
150,"male",42,2,"S",0
151,"male",51,2,"S",0
152,"female",22,1,"S",1
153,"male","55.5",3,"S",0
154,"male","40.5",3,"S",0
155,"male",,3,"S",0
156,"male",51,1,"C",0
157,"female",16,3,"Q",1
158,"male",30,3,"S",0
159,"male",,3,"S",0
160,"male",,3,"S",0
161,"male",44,3,"S",0
162,"female",40,2,"S",1
163,"male",26,3,"S",0
164,"male",17,3,"S",0
165,"male",1,3,"S",0
166,"male",9,3,"S",1
167,"female",,1,"S",1
168,"female",45,3,"S",0
169,"male",,1,"S",0
170,"male",28,3,"S",0
171,"male",61,1,"S",0
172,"male",4,3,"Q",0
173,"female",1,3,"S",1
174,"male",21,3,"S",0
175,"male",56,1,"C",0
176,"male",18,3,"S",0
177,"male",,3,"S",0
178,"female",50,1,"C",0
179,"male",30,2,"S",0
180,"male",36,3,"S",0
181,"female",,3,"S",0
182,"male",,2,"C",0
183,"male",9,3,"S",0
184,"male",1,2,"S",1
185,"female",4,3,"S",1
186,"male",,1,"S",0
187,"female",,3,"Q",1
188,"male",45,1,"S",1
189,"male",40,3,"Q",0
190,"male",36,3,"S",0
191,"female",32,2,"S",1
192,"male",19,2,"S",0
193,"female",19,3,"S",1
194,"male",3,2,"S",1
195,"female",44,1,"C",1
196,"female",58,1,"C",1
197,"male",,3,"Q",0
198,"male",42,3,"S",0
199,"female",,3,"Q",1
200,"female",24,2,"S",0
201,"male",28,3,"S",0
202,"male",,3,"S",0
203,"male",34,3,"S",0
204,"male","45.5",3,"C",0
205,"male",18,3,"S",1
206,"female",2,3,"S",0
207,"male",32,3,"S",0
208,"male",26,3,"C",1
209,"female",16,3,"Q",1
210,"male",40,1,"C",1
211,"male",24,3,"S",0
212,"female",35,2,"S",1
213,"male",22,3,"S",0
214,"male",30,2,"S",0
215,"male",,3,"Q",0
216,"female",31,1,"C",1
217,"female",27,3,"S",1
218,"male",42,2,"S",0
219,"female",32,1,"C",1
220,"male",30,2,"S",0
221,"male",16,3,"S",1
222,"male",27,2,"S",0
223,"male",51,3,"S",0
224,"male",,3,"S",0
225,"male",38,1,"S",1
226,"male",22,3,"S",0
227,"male",19,2,"S",1
228,"male","20.5",3,"S",0
229,"male",18,2,"S",0
230,"female",,3,"S",0
231,"female",35,1,"S",1
232,"male",29,3,"S",0
233,"male",59,2,"S",0
234,"female",5,3,"S",1
235,"male",24,2,"S",0
236,"female",,3,"S",0
237,"male",44,2,"S",0
238,"female",8,2,"S",1
239,"male",19,2,"S",0
240,"male",33,2,"S",0
241,"female",,3,"C",0
242,"female",,3,"Q",1
243,"male",29,2,"S",0
244,"male",22,3,"S",0
245,"male",30,3,"C",0
246,"male",44,1,"Q",0
247,"female",25,3,"S",0
248,"female",24,2,"S",1
249,"male",37,1,"S",1
250,"male",54,2,"S",0
251,"male",,3,"S",0
252,"female",29,3,"S",0
253,"male",62,1,"S",0
254,"male",30,3,"S",0
255,"female",41,3,"S",0
256,"female",29,3,"C",1
257,"female",,1,"C",1
258,"female",30,1,"S",1
259,"female",35,1,"C",1
260,"female",50,2,"S",1
261,"male",,3,"Q",0
262,"male",3,3,"S",1
263,"male",52,1,"S",0
264,"male",40,1,"S",0
